IDПользователя;?id чека;Цена
21bf6372206fad8cce02c943a8fdfd40;472171a006656c58c352e8083d65b021;509.0
21bf6372206fad8cce02c943a8fdfd40;472171a006656c58c352e8083d65b021;414.0
21e13e1672fe5dde3e90c386311e4787;2618f27f94e4fe28e56020dd36ae365c;179.0
22040aa6dc71c424eeb151c290bdbf12;49b0fe7db8eae449ddf392b94756ed41;37.99
22237ed47e51c12ddca1c420205c821f;279b6b56645f16fab59c30eeb3356143;790.0
22638d43a3e659c53d35239301f1a7af;2ed4a628d214b4c1340a20061c4d7cde;169.0
22b24780936b0e0fc3210ea8223ab7d8;3afbeb7a0fe57767bb64e2711ec23330;55.0
22e510fbeefed5117e2f9e0039a99a44;38be382903c24019f06b74d55cfd1d1a;1390.0
22ebf923ca56c563599212ab7bb28e88;3ec2a98ec33d6a905cd18192d259407a;9990.0
2332d79ba6c2b1a724232623649511a9;1cae243b96463f56b5112489827b036f;1165.0
2332d79ba6c2b1a724232623649511a9;1cae243b96463f56b5112489827b036f;1165.0
2353336a2c90cec7e1c0c697816877fe;14234262e4456008ea3cb114be06b2bd;849.0
2359247b01fdcdab6fcb2e5519297110;08981074d1d13a70f1c1e924c9ccf1fc;119.2
2361cee39f8dc8b2eb584e21d342af17;2f3d8ac76a1d381ad6fa89e9f77dd8ba;1990.0
23a39da2d3377bf4c625be597a717868;4ae0874dddceb1730f13c09926950a76;39.9
23a39da2d3377bf4c625be597a717868;4ae0874dddceb1730f13c09926950a76;89.0
246748fd77e5c55232d62927ce346a7d;509e0db714e1febdf83ff99f8f9244b7;13990.0
24e08cd0a92d1d3258d630a5428a003b;43cb153760fe5ab1164d706ea40624cb;49.0
250ab128044f6802954d861b13ec239e;02f02b62ac14b94e85dba50d4c01c977;699.0
250ab128044f6802954d861b13ec239e;02f02b62ac14b94e85dba50d4c01c977;1299.0
254650e79e34f117f100e662dd9ca07c;0f6936c38a852de65d26dfbbf0b30580;152.99
2548a41969d2c1c89ab00ed1b9fbacd0;35c3f42f8de2124815b7d32c20641448;1060.0
254ca5f101bb38bc733ef8685b78c6b3;4d34bfa285d6b8ffb6a7b304cda9e328;1592.0
254efa3e50e6bc6db77f58e041493f18;0932eb1649dc634bd611719d3770007c;63.2
25534c755b4b642a4ab5bb12ad3a9e3f;2b196f3184f1eb7ad7289d45f7d3b12d;457.0
25c0b8fa7d55613542f639d9c39dc66a;34d8b50dee0f17a8056977735c088668;7990.0
25c39f5d2ff1222fdca347eccdedcde8;0bbfbc9aeec6c9126dadc32c7d31b3ea;1299.0
25eb7ca34e645ae6bbd259108932dfc3;2f87f01f20e8b2f8d46482d40685c865;149.0
261da3f1b6e309abcff58e4a6116eb6e;4fe8fcf82b511fa17951c5291bc1923a;990.0
269ff0a8edf5f22820f6c529529961d3;0d2946d965008ae7999d36edf074caac;79.9
2700d37b2228d466fed6448a3c85c5f5;13be6d0515f6c128f5c9a44ab2f7c808;0.0
2700d37b2228d466fed6448a3c85c5f5;13be6d0515f6c128f5c9a44ab2f7c808;9790.2
2705e1c117fd0c1ae358cb9e2608008d;157e997274c373efa5a33ccebb24adee;1990.0
2715eddff269091bd833294a3235cf13;11f7eed598eb9546872814c996b98df7;79.9
274c34cdfbe07695f5359686448dc117;21fec1c90404c89e9518be4ca8884c5a;135.0
274dfca074d49d2879db3303809be61f;05582166bfcaea9c89d5b860258b78d8;1490.0
2754ffef07087beab1bb69053805f7eb;1379fc4cb43af3e350b6e454daa89680;5655.0
27622484724eeb7112f56cb9b95712a9;141775fa43f34bd00415270cd6abc9bd;59.9
28110172cf266154f35a0879bba92b97;4ac6e791a5312d21f4c242a75d7e5bc6;157.7
2836d39acebdb11fd272ca9a72329450;023241e0096d083f29b72ece0b6c3ff9;59.9
28ed1c79e3b0cffdc84eb3e457dd943c;1bcfc1f99ddde55835a175769933ea36;149.9
2959ac6cf86f3c29960cc292bb2345c9;24417a714995cf84f9262f8b980d31f8;848.1
299f9d3440e44d27d390a2a950e178cf;19d80498febd9f4bc357cdc42217e68d;55.0
2a1a22f637f4954f6e06a1e6824bb89a;0e01161c10eb0597886854dcdd453a07;14700.0
2a26f7b5d17304da562adbe3324e7238;237b3a7c92b33b7f8e7bf2bcb0e69998;665.5
2a326e701c9263296cf25f7ff1b455a4;076eaa9505964e6b2d7e7d57f8845ed0;2499.0
2a4adfff04430e8bee0a5c815614ecbd;0a3c79600a6165910ccb4b57fb60e657;1855.0
2a61f778603d87db059b9ad762a5a963;4e84b6a4063700b12a145c25a0ce01f7;9990.0
2a826fe3767395da8e4c4d8463b4071e;3264d9c65c4592188f51a49b9cf613ef;59.9
2a826fe3767395da8e4c4d8463b4071e;3264d9c65c4592188f51a49b9cf613ef;59.9
2a9f398a15bc35584b7675dc59e935a5;113a70b4ee25de284e63adfd71e6b132;99.9
2adf9ebd1873453e3583cb36336a0a67;267b9452343b3252994c236dfec577d7;749.25
2aef091ed58bc8b390a8630c1ac61bbe;2e67a90f7423e198b65752d6e1a2e9a6;47.25
2b084393ad83ab82739efa17757c44f8;09d756cfe68f37eb60ab26d2c1e1d47a;35.99
2b4044ea78518879b9c556f40f75263f;04581419c8540c2263f1c533eafdacfb;1190.0
2b50635165eb8595a54bbdc3aa3e4ad1;0081dafb79f4cf579715fc8fe4103a25;999.0
2b50635165eb8595a54bbdc3aa3e4ad1;15319858c78ba1a342bf39dabd342a6e;999.0
2b50635165eb8595a54bbdc3aa3e4ad1;2943509cfdb16bec219c05661b4210d0;999.0
2b50635165eb8595a54bbdc3aa3e4ad1;499413dbd33233ad3a5883615b8c3e51;43.0
2b5b2b259ef98c1e0649689477cd730f;0dafdd1778b80133a5e6c7a0146a3290;999.0
2b5b2b259ef98c1e0649689477cd730f;1e8a0587ff6a713ec99ca1e10370899f;1299.0
2bcf3b76fb3dcbea7c4fb648c75897b3;0d25519a0e06658fbdc247bf73d7fc77;149.0
2bd6c988726a5816e0bad817e3b0fca3;117cbd2cbbce2ba0b5e83b13420e4161;990.0
2c4428f59738e559a70929e1a969b862;259eccbb2e950fd8ac939e851f5877e8;13990.0
2c48b25626559862bd7d6e08223b4a84;06e26e505db90750af29c1769451bba8;2238.0
2d2bead8be08339fa6c46a39b08fe8ce;2d6c3f6354903f1f9c7208222bc57714;109.0
2d64dc9378722af2281c4a4f374db2d3;2ef19400d5319d540824a80cddf8afc0;1499.0
2d990ca7b474d478892c086495f39536;42c77acb2febc0e25e2ef43155da598b;399.0
